Image_File,Range,Beat,Image_Quality,Tigers_In_Frame,Identified_ID,Color_Morph,Subspecies,Status,Match_Score,Detection_Confidence
tiger_10.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.824
tiger_103.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Unusable_Blurry,0,UNUSABLE,,,Rejected — Motion blur — Laplacian variance < 80.0,,
tiger_104.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.4325
tiger_107.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.5616
tiger_109.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.5381
tiger_110.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_003,Orange_Standard,Bengal (medium stripe density — most likely in India),Recaptured Match,0.8796,0.7715
TIger_1122.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_004,Orange_Standard,Sumatran (high stripe density),Recaptured Match,1.0,0.9354
TIger_1123.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_005,Orange_Standard,Sumatran (high stripe density),Recaptured Match,1.0,0.8134
TIger_1124.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,3,Tiger_006,Golden,Sumatran (high stripe density),Recaptured Match,1.0,0.6374
TIger_1124.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,3,FILTERED,,,"Filtered — wrong class (COCO class 0, not a tiger proxy)",,0.46
TIger_1124.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,3,FILTERED,,,Filtered — low confidence (0.26 < 0.35),,0.2612
TIger_1125.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,2,Tiger_008,Orange_Standard,Sumatran (high stripe density),Recaptured Match,0.9744,0.5011
TIger_1125.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,2,Tiger_008,Orange_Standard,Sumatran (high stripe density),Recaptured Match,0.9703,0.4429
TIger_1126.jpeg,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_009,Orange_Standard,Sumatran (high stripe density),Recaptured Match,1.0,0.742
tiger_115.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.7961
tiger_117.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.8187
tiger_118.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.2574
tiger_119.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.8707
